labelCat,displayName
Lise,Muradiye İmam Hatip Lisesi
İlkokul,Eşen İlkokulu
İlkokul,Cumhuriyet İlkokulu
Basketbol/Voleybol Sahası,Basketbol Sahası
Eczane,Eczane Üniversite
Ortaokul,Kumluova Prof.Dr. Ayhan Önder Ortaokulu
Ortaokul,Hakkı Divanoğlu Ortaokulu
İlkokul,Çiğli İlkokulu
Cami,Akören Köyü Cami
İlkokul,Çatkale İlkokulu
İlkokul,Kırmakaya İlkokulu
İlkokul,Akçakale Köyü Yediören Mezrası İlkokulu
İlkokul,Çıkrık İlkokulu
Cami,Örenköy Köyü Cami
İlkokul,Akçalı Şehit Piyade Üstçavuş Ahmet Tündü İlkokulu
Yüksek Okul/Akademi,Bigadiç Meslek Yüksek Okulu
İlkokul,Ovacık İlkokulu
Cami,Mesutlu Köyü Cami
İlkokul,Nuribey İsmet Atilla İlkokulu
İlkokul,Ekindöver İlkokulu
İlkokul,Dağdüzü İlkokulu
Cami,Cami
Cami,Mamak Belediyesi Merkez Cami
İlkokul,Karaahmetli Öğretmen Gürbüz Alpay İlkokulu
Kooperatif/Site,Güzelyalı Sitesi
Zincir Marketler,Halciler - Türközü Şubesi
Cami,Cami
Cami,Zeytinli Köyü Cami
İlkokul,Koyunluca İlkokulu
İlkokul,Döşemeler İlkokulu
Ortaokul,Remzi Oğuz Arık Ortaokulu
İlkokul,Çöl Canaydın İlkokulu
Cami,Jandarma Komando Teğmen Adem Buran Cami
Meyhane,Yıldırım Grom Restoran
Ortaokul,Toki Şehit Şükrü Özyol Ortaokulu
İlkokul,Ilıcalar Kamışlı İlkokulu
Ortaokul,Gürleyik Ortaokulu
Veteriner,Can - Vet Veteriner
Ortaokul,Arpacık Ortaokulu
İlkokul,Karasınır İlkokulu
Lise,Atatürk Anadolu Lisesi
Cami,Dere Cami
Lise,Kayseri Otelcilik Ve Turizm Meslek Lisesi
Kooperatif/Site,Tuana Evleri
Ortaokul,80.Yıl İşitme Engelliler Ortaokulu
Ortaokul,Seki Ortaokulu
Lise,Elbistan Teknik Ve Endüstri Meslek Lisesi B Blok
Ortaokul,Köprühisar Atatürk Ortaokulu
İlkokul,Huzurlu İsa Yıldırım İlkokulu
Ortaokul,Hacı Bektaş Veli Ortaokulu
Tarihi Eser,Birecik Kalesi
Cami,Yemişendere Köyü Cami
Liman,Belde Limanı
Cami,Hz. Ali Cami
İlkokul,Boyalı İlkokulu
İlkokul,Ulacık İlkokulu
İlkokul,Kesiktaş İlkokulu
İlkokul,Güzlüce İlkokulu
İlkokul,Üçkuyu İlkokulu
İlkokul,Bağcılar Köyü Evciler Mezrası İlkokulu
İlkokul,Aslıhantepecik İlkokulu
Cami,Çarşı Cami
İlkokul,Konakören İlkokulu
Ortaokul,Sofular Ortaokulu
Zincir Marketler,Saymar
Cami,Süleymaniye Cami
Cami,İmamı Azam Cami
Cami,Yerkesik Kasabası Aliler Cami
Cami,Akçaova Kasabası Bekarlar Mahalle Cami
Kooperatif/Site,Üzümlü TOKİ Evleri
Kooperatif/Site,Koru Sitesi 2
İlkokul,Kadıköy İlkokulu
Cami,Eyüpensari Cami
Ortaokul,Kızlan Ortaokulu
Zincir Marketler,Grup Gökkuşağı Hipermarketleri
Cami,500 Evler Cami
İlkokul,Bulgurlu İlkokulu
Ortaokul,Çiftlik Mustafa Yazıcı Ortaokulu
İlkokul,Yoncalı İlkokulu
Kreş/Gündüz Bakımevi,Habibe Gümüşer Anaokulu
İlkokul,Yunus Emre İlkokulu
Cami,Sanayi Cami
Ortaokul,Cumhuriyet Ortaokulu
Ortaokul,Yeniköy Denizdibi Ortaokulu
Lise,Oltu Anadolu Öğretmen Lisesi
Ortaokul,Hacılar Ortaokulu
Kooperatif/Site,Akfen Sitesi
Cami,Hz. Ömer Cami
Veteriner,Babel Veteriner
Lokanta/Deniz Ürünleri,Gökdeniz Balık Restoran
Cami,İkizce Köyü Cami
Cami,Yeşilyurt Kasabası Çırpı Köyü Cami
İlkokul,Yılanlı İlkokulu
İlkokul,Değirmenarkı İlkokulu
İlkokul,Göbelli İlkokulu
İlkokul,Yollarbaşı İlkokulu
Cami,Altınabat Köyü Cami
Cami,Gökbel Köyü Hayıtözü Mahalle Cami
Cami,Port.Köyü Ağaköy Mahalle Cami
İlkokul,Dereyaka İlkokulu
Cami,Çayyüzü Köyü Cami
Cami,Ibrıcak Köyü Makame Mahmud Cami
Cami,Kasım Paşa Cami
İlkokul,Tantana İlkokulu
İlkokul,Soysallı Pörnek İlkokulu
İlkokul,Ovabaşı İlkokulu
Kooperatif/Site,Karan Sitesi
Cami,Sucaklı Mahallesi Cami
Ortaokul,Yeşilyayla Ortaokulu
İlkokul,Küçük Orcuk İlkokulu
Kooperatif/Site,Gökçeköy
Kooperatif/Site,Lidya Sitesi
Ortaokul,Esenköy Şehit Er Asım Özdemir Ortaokulu
Ortaokul,İbni Sina Ortaokulu
Ortaokul,Yusuf Ziya Değnekçi Ortaokulu
Fast Food,Kısmet Büfe
Ortaokul,Göltepesi Yeni Yerleşim Ortaokulu
Fast Food,Cızbız Fast Food
İlkokul,Hacıağalar İlkokulu
Ortaokul,Selçuk Ortaokulu
Otogar,Sarıveliler Otogarı
Ortaokul,Korubükü Değirmenüstü Ortaokulu
İlkokul,Hakkı Divanoğlu İlkokulu
Cami,Çamlıbel Belediyesi Cami
Cami,Merkez Yeşilli Cami
İlkokul,Kayrakaltı İlkokulu
İlkokul,Salihli İlkokulu
Kooperatif/Site,Cihan Sitesi
Cami,Dereköy Köyü Cami
Kooperatif/Site,Ak Evin Sitesi - Reyhan Sokak
İlkokul,Kuşlukçayırı Esikler Mezrası İlkokulu
Ortaokul,Gözpınar İMKB Yatılı Bölge Ortaokulu
İlkokul,Çağlayan İlkokulu
Cami,Umurlu Bucağı Musluca Köyü Cami
İlkokul,Yolderesi İlkokulu
İlkokul,Karacaviran İlkokulu
İlkokul,Gümüşova İlkokulu
İlkokul,Sarıköy İlkokulu
İlkokul,Çimen İlkokulu
İlkokul,Şehit Piyade Çavuş Muhammet Binici İlkokulu
Cami,Sucaklı Mahallesi Cami
Cami,Fatih Cami
Ortaokul,Hamur Yatılı Bölge Ortaokulu
İlkokul,Yukarı Parmaksız İlkokulu
Cami,Karabörtlen Köyü Cami
İlkokul,Emine Belkıs Akyüz İlkokulu
İlkokul,Aşağı Kamış İlkokulu
İlkokul,Cenger İlkokulu
Basketbol/Voleybol Sahası,Basketbol Sahası
İlkokul,Dernek Çalıbükü İlkokulu
Cami,Yerkesik Kasabası Yenice Köyü 1.Cami
Cami,Derebağ Köyü Cami
İlkokul,Göksöğüt Şehit Faruk Kaplan İlkokulu
Kooperatif/Site,Şirinyalı Sitesi
Ortaokul,Ilıcalar Ortaokulu
Pazar Alanı,Pazar Alanı
Lise,Akdağmadeni Ticaret Meslek Lisesi
Fast Food,Hayal Büfe
İlkokul,Şehit Yrb.Alim Yılmaz İlkokulu
İlkokul,Uğurdalı İlkokulu
İlkokul,Ayhan Erkan İlkokulu
Cami,Murad Hüdavendigar Cami
Ortaokul,Kayadibi Şehit Er Feruz Zorlu Ortaokulu
Veteriner,Yıldız Veteriner Kliniği
Ortaokul,Hacımustafa Ortaokulu
Cami,Himmetbaba Cami
Ortaokul,Baskil İmam Hatip Ortaokulu
Cami,Nebiler Köyü Göncüler Mahalle Cami
Eczane,Kent Eczanesi
Cami,Nebiler Köyü Kuyualan Mahalle Cami
İlkokul,Ahmetler İlkokulu
İlkokul,Taşağıl İlkokulu
Cami,Gökçe Köyü Yeni Mahalle Cami
İlkokul,Ortaklı İlkokulu
Cami,Şerifpaşa Cami
Cami,Dalama Bucağı Gödrenli Köyü Cami
İlkokul,Aşağı Katıklı İlkokulu
İlkokul,Köylüce İlkokulu
Tren İstasyonu/Şehiriçi,Kaklık Tren İstasyonu
İlkokul,Boyunsuz İlkokulu
İlkokul,Şehit Hava Pilot Yüzbaşı Ali Rıza Sadak İlkokulu
Zincir Marketler,Bim
İlkokul,Sazlıpınar İlkokulu
Cami,Gaziler Cami
Ortaokul,Çitli Harun Reşit Ortaokulu
İlkokul,Başhan İlkokulu
İlkokul,Hatipoğlu İlkokulu
İlkokul,Karabulak İlkokulu
İlkokul,Kepenek İlkokulu
İlkokul,Yeşilkent İlkokulu
Sergi Salonu,Turizm Danışma Kültür Ve Sanat Evi
İlkokul,Uygur İlkokulu
İlkokul,İsmet Paşa İlkokulu
Lise,Aksu İmam Hatip Lisesi
Ortaokul,Reşadiye Kazım Yılmaz Ortaokulu
Ortaokul,Şerefler Ortaokulu
Ortaokul,Bayır Şehit Sabri Acar Ortaokulu
Lise,Tunceli Anadolu Sağlık Meslek Lisesi
Ortaokul,Düzağaç Ortaokulu
Kooperatif/Site,Martıkent Sitesi
İlkokul,Cihanbeyli İlkokulu
Ortaokul,Hacıağalar Ortaokulu
"Üniversite Kampüs",Uluslararası Çocuk Merkezi
İlkokul,Üzümlü Fatih İlkokulu
Cami,Menteşe Kasabası Çarşı Cami
Cami,Ortaköy Cami
İlkokul,Kapıçam İlkokulu
Kooperatif/Site,Manolya Sitesi
İlkokul,Kurudere İlkokulu
İlkokul,Kayabaşı Karapınar İlkokulu
İlkokul,Mollaköy İlkokulu
Zincir Marketler,Bim
Cami,Şerefler Köyü Cami
İlkokul,Kayabaş İlkokulu
Cami,Güzelyurt Köyü Kancalar Cami
İlkokul,Düzağaç İlkokulu
Cami,Dalama Kasabası Kozalaklı Köyü Cami
İlkokul,Cevizli İlkokulu
İlkokul,Büyükfındık İlkokulu
İlkokul,Toplu Köyü Mehmet Gümüş İlkokulu
İlkokul,Ertuğrul Gazi İlkokulu
Cami,Merkez Çarşı Cami
İlkokul,Boğazören İlkokulu
Yüksek Okul/Akademi,Erzincan Üniversitesi Üzümlü Meslek Yüksek Okulu
Kooperatif/Site,Kardelen 5 Sitesi
İlkokul,Otlukköyü İlkokulu
İlkokul,Hasanbey İlkokulu
İlkokul,Alanşeyhi İlkokulu
Cami,Güvenir Köyü Cami
Pizza,Dominos Pizza
Ortaokul,Elcik Ortaokulu
Ortaokul,Arsa Ortaokulu
Zincir Marketler,A - 101
Ortaokul,Ayhan Erkan Ortaokulu
Eczane,Özkurt Eczanesi
Yüzme Havuzu,Yarıolimpik Yüzme Havuzu
Kooperatif/Site,Filiz Kent Sitesi
Cami,Çayiçi Cami
Lise,Şehit Alper Güde Çok Programlı Lisesi Ve Teknik Lise
İlkokul,Atatürk İlkokulu
Cami,Zafer Cami
Lise,Hakkari Sümbül Anadolu Lisesi
Kütüphane,Üzümlü Halk Kütüphanesi
Ortaokul,Koyunhisar Ortaokulu
İlkokul,Ambar Kanidisk İlkokulu
İlkokul,Demrek İlkokulu
Kooperatif/Site,Onur Sitesi
Veteriner,Güleryüz Veteriner
İlkokul,Akarca İlkokulu
Cami,Hayır Sevenler Cami
İlkokul,Kavalık İlkokulu
İlkokul,Kubik İlkokulu
İlkokul,Sundurlu İlkokulu
Cami,Narlı Köyü Cami
Cami,Dalama Bucağı Kuloğulları Köyü Cami
İlkokul,Ballıtaş İlkokulu
İlkokul,Ahmetbaba Tekke İlkokulu
İlkokul,Altınova Atatürk İlkokulu
Cami,Çöğmen Köyü Cami
İlkokul,Beşpınar İlkokulu
İlkokul,Karahacip Şehit Erdal Öztaş İlkokulu
İlkokul,Yassıçal İlkokulu
Kooperatif/Site,Banu Sitesi
Ortaokul,Mehmetli Ortaokulu
Cami,Karaköy Cami
Cami,Beşiktaşlar Vakfı Cami
Cami,Boğaziçi Cami
Ortaokul,Küre Yatılı Bölge Ortaokulu
Cami,Evliya Çelebi Lonca Cami
Veteriner,Tuğra Veteriner Kliniği
Cami,Cami
Lise,Yıldırım Beyazıt Anadolu Lisesi
Ortaokul,Datça Mustafa Kutluay Ortaokulu
Lise,Ayten Yılmaz Anadolu Sağlık Meslek Lisesi
Kooperatif/Site,500 Evler
Veteriner,Altın Veteriner
Kooperatif/Site,Kurtuluş Sitesi
Zincir Marketler,Bim
Lise,Hakkari Ticaret Meslek Lisesi
Cami,Güneşli Cami
Kreş/Gündüz Bakımevi,Piyade Onbaşı Bülent Avşin Anaokulu
İlkokul,Derebağ İlkokulu
İlkokul,Aliağa İlkokulu
Cami,Kurtuluş Cami
Kooperatif/Site,TOKİ
İlkokul,Gözlük İlkokulu
Cami,Erkaynak Cami
İlkokul,Burunsuz Şehit Osman Eser İlkokulu
İlkokul,Nişantaşı İlkokulu
İlkokul,Hacılar İlkokulu
İlkokul,Barakdağı Mezit Şehit Bahattin Çelik İlkokulu
İlkokul,Gündüz İlkokulu
Cami,Karadonlar Köyü Cene Mahalle Cami
Cami,Y.Kesik Kasabası Y.B.Yaka Köyü Cami
Lise,Ahmet Cevdet Paşa Sosyal Bilimler Lisesi
Cami,Umurlu Bucağı Ortaköy Köyü Cami
İlkokul,Hacılar İlkokulu
İlkokul,Üçağıl İlkokulu
İlkokul,Altınova Ondört Eylül İlkokulu
İlkokul,Şehit Korgeneral İsmail Selen İlkokulu
Cami,Yukarısoku Mahallesi Cami
Kooperatif/Site,Şeker Fabrikası Sitesi
İlkokul,Çamlıca İlkokulu
İlkokul,Çalıca İlkokulu
Ortaokul,Çardak İmam Hatip Ortaokulu
Cami,Medine Cami
Cami,Reşit Efendi Cami
İlkokul,Gümüştaş İlkokulu
Cami,Mergenli Köyü Cami
Cami,Bediüzzaman Nur Cami
İlkokul,Selman İlkokulu
Cami,Caferoğlu Cami
Ortaokul,Atatürk Ortaokulu
Ortaokul,Alaçat Şehit Er Adem Şimşek Ortaokulu
Cami,Karadonlar Köyü Cami
Eczane,Ferah Eczanesi
İlkokul,Yeniköy Denizdibi İlkokulu
Kooperatif/Site,Belediye Blokları
İlkokul,Kavazlıboğaz Teknebaşı İlkokulu
Ortaokul,Elbistan İmam Hatip Ortaokulu
Pazar Alanı,Pazar Alanı
Spa Merkezi,Kuğu Masaj Salonu
Basketbol/Voleybol Sahası,Basketbol Sahası
İlkokul,Dağeymiri İlkokulu
İlkokul,Ceylangözü İlkokulu
İlkokul,Ilıca Gölgeli İlkokulu
İlkokul,Yalçınkaya İlkokulu
İlkokul,Sarıören İlkokulu
Cami,Güneş Cami
İlkokul,Altunkent Ömer Gültekin İlkokulu
Cami,Yunus Emre Cami
Lise,Savaştepe Anadolu Sağlık Meslek Lisesi
İlkokul,Altınova İlkokulu
İlkokul,Beydiğin İlkokulu
Cami,Umurlu Bucağı Terziler Köyü Cami
İlkokul,Gaziler İlkokulu
İlkokul,Buğakale İlkokulu
İlkokul,Çığlıca Koçtepe İlkokulu
İlkokul,Cumhuriyet İlkokulu
İlkokul,Özkaynak İlkokulu
İlkokul,İpekyayla İlkokulu
Ortaokul,Yazlamazlı Ortaokulu
İlkokul,Harmanalan İlkokulu
Cami,İmam Hatip Cami
Cami,Ayvalık Cami
Cami,Bigadiç Yeni Cami
Cami,Kızılağaç Köyü Çamköy Mahalle Cami
Ortaokul,Hanönü Şehit Faruk Karagöz Yatılı Bölge Ortaokulu
İlkokul,Mahsenli İlkokulu
İlkokul,Özbek İlkokulu
Lise,Kozan Bucak Lisesi
Ortaokul,75.Yıl Ortaokulu
Ortaokul,Çiftlik Ortaokulu
Cami,İkizler Köyü Cami
Kooperatif/Site,Florium Evleri
Kooperatif/Site,Mevlena Sitesi
Ortaokul,Hacılar Lomlar Ortaokulu
Cami,Petekkaya Köyü Cami
Cami,Şenyayla Köyü Cami
İlkokul,Saluca İlkokulu
İlkokul,Kazanlıpınar İlkokulu
Cami,Yaylasöğüt Köyü Cami
Cami,Yolçatı Cami
Lise,Adnan Hunca Çok Programlı Lisesi
Cami,Karaköy Köyü Baklacık Mahalle Cami
İlkokul,Şallıuşağı İlkokulu
İlkokul,Değirmendere İlkokulu
İlkokul,Başak İlkokulu
İlkokul,Alatarla İlkokulu
İlkokul,Sudüğünü İlkokulu
İlkokul,Konurtepe İlkokulu
Ortaokul,Namık Kemal Ortaokulu
Ortaokul,Yukarı Çıyanlı Ortaokulu
Cami,Sanayi Cami
Ortaokul,Doğanyurt Yatılı Bölge Ortaokulu
Zincir Marketler,Bim - Meserret Şubesi
İlkokul,Sünlük İlkokulu
İlkokul,Tavşancık İlkokulu
Cami,Eshabı Bedir Cami
Cami,Çamlık Köyü Cami
Kooperatif/Site,Büyükşehir Belediyesi Toplu Konutları
Cami,Akçaova Kasabası Orta Mahalle Cami
İlkokul,Çokak İlkokulu
İlkokul,Güney İlkokulu
İlkokul,Akçeşme İlkokulu
İlkokul,Solmaz İlkokulu
İlkokul,Güney İlkokulu
İlkokul,Yenicekent Cumhuriyet İlkokulu
İlkokul,Yukarı Tahirhoca İlkokulu
Cami,Pınarönü Cami
Lise,Asef Çoban Anadolu Öğretmen Lisesi
Cami,Akseki Köyü Cami
Bar,Brickhouse Bar
Kooperatif/Site,Club Patara Evleri
Lise,Ahmet Altan Anadolu Lisesi
Cami,Hayırseverler Cami
Cami,Nebi Cami
Cami,Meydan Cami
Cami,Toraman Cami
Ortaokul,Üçocak Ortaokulu
Ortaokul,Atatürk Ortaokulu
Ortaokul,Akkese Ortaokulu
Cami,Fatih Cami
İlkokul,Sarmansuyu İlkokulu
İlkokul,Yeniköy İlkokulu
Lokanta/Sakatat,Kokoreçci Sarı Ömerin Yeri
Ortaokul,Evciler Şehit Osman Özkan Ortaokulu
Ortaokul,Başar Ortaokulu
İlkokul,Gökçebey Duhancılar Tütüncüoğlu İlkokulu
Kooperatif/Site,Özaydeniz Sitesi
Ortaokul,Dumlupınar Ortaokulu
Kooperatif/Site,Korint Evleri
İlkokul,Cumhuriyet İlkokulu
Zincir Marketler,A - 101
Ortaokul,Düzalan Ortaokulu
Ortaokul,Çal Ortaokulu
Kooperatif/Site,Ercanlar Sitesi
Rezidans,Hasırcılar Residence
Fast Food,Özen Büfe
Kooperatif/Site,Sinem Sitesi
Cami,Mengenli Köyü Ovacık Mahalle Cami
İlkokul,Kuyucak Çağdaş Yaşam Ferhat Şenatalar İlkokulu
Lise,Iğdır Anadolu Lisesi
İlkokul,Çaytepe Hüseyin Aladağ İlkokulu
Cami,Menteşe Kasabası Kocaçam Cami
İlkokul,Doğan Kündür Mezrası İlkokulu
Cami,Çamoluk Köyü Cami
Cami,Şahnalı Köyü Bahçearası Mes.Cami
Cami,Göktepe Köyü Orta Cami
Kültür/Kongre Merkezi,Gürün Belediyesi Kültür Merkezi
Kütüphane,Ramizbey Okuma Salonu
Kooperatif/Site,TOKİ Akyazı
Lise,Karaelbistan Teknik Ve Endüstri Meslek Lisesi
Kooperatif/Site,Villa Maviköy
Kooperatif/Site,TOKİ
İlkokul,Vali Teoman İlkokulu
Ortaokul,Koşuboğazı Ortaokulu
Cami,Çavuşlu Köyü Cami
Cami,Karşıyaka Cami
Cami,Çayboyu Belediyesi Yeni Mahalle Cami
Cami,Akçaova Kasabası Çarşı Cami
Basketbol/Voleybol Sahası,Basketbol Sahası
Kütüphane,Bigadiç İlçe Halk Kütüphanesi
Kooperatif/Site,Vadi Park Sitesi
Cami,Dampınar Köyü Cami
Zincir Marketler,Migros
İlkokul,Melikgazi İlkokulu
Kreş/Gündüz Bakımevi,Minik Kalpler Anaokulu
Cami,Cami
Veteriner,Veteriner Hekim Harun Göçmenler
